?,43,2,1020,?,18,20,?,?,84,?,0,0
9,25,8,1024,?,28,25,?,0,37,0,6,9
?,?,?,1031,?,?,?,?,?,?,?,?,2
?,?,?,?,?,?,?,?,?,?,?,2,13
?,?,?,?,?,?,?,?,?,?,?,1,14
7,30,6,855,99,41,7,4,?,84,0,3,?
?,50,15,1007,?,?,12,?,?,89,0,0,1
1,57,9,1017,?,59,16,?,?,74,?,2,7
5,9,1,1024,?,24,25,?,0,37,0,6,9
10,13,3,1006,?,40,20,?,?,60,0,3,7
12,42,27,1012,?,44,17,?,?,73,0,?,?
8,21,7,?,?,24,19,?,0,?,0,?,?
?,?,?,1031,?,?,2,?,?,?,?,?,?
10,25,10,1017,?,35,18,?,5,63,0,2,5
12,30,4,1014,?,26,20,?,0,51,0,0,3
8,25,?,1016,0,?,19,10,0,56,?,1,?
?,42,6,?,?,50,17,?,?,7,0,0,0
7,21,4,1012,?,30,22,?,0,52,0,0,3
8,25,8,1015,?,28,22,11,0,49,0,4,?
11,30,?,1020,?,?,23,?,0,11,?,9,16
14,38,?,1019,?,7,3,?,9,83,?,0,1
14,42,20,1012,?,44,17,?,?,73,0,?,?
12,42,?,1017,?,7,10,?,16,77,?,1,1
10,21,8,1016,?,38,19,?,?,62,0,0,7
4,9,1,812,99,32,6,2,0,77,0,4,?
21,53,12,1017,?,61,14,?,?,81,0,0,?
13,42,12,1002,?,34,21,?,5,76,?,?,0
10,25,?,1020,?,?,23,?,0,11,?,9,16
17,50,8,1009,?,45,20,17,?,80,?,?,?
3,9,1,812,99,22,6,3,0,76,0,2,?
11,38,?,1017,?,13,10,?,11,77,?,1,1
11,21,15,1019,?,23,23,?,0,40,?,3,4
13,42,11,1002,?,40,21,?,5,76,?,?,0
12,25,11,1017,?,?,14,?,?,82,?,2,4
?,80,15,1012,?,16,12,?,?,99,?,?,?
10,25,?,1017,?,4,10,?,23,77,?,1,1
12,46,6,1002,?,37,21,?,5,76,?,?,0
10,34,10,1015,?,20,22,7,?,37,?,3,9
13,38,13,1002,?,40,21,?,5,76,?,?,0
10,25,6,1019,?,26,23,?,0,44,?,2,3
13,34,7,?,?,?,17,?,7,7,?,0,0
10,13,12,1017,?,43,22,?,5,54,0,1,3
9,25,8,1011,?,18,24,?,0,37,0,4,12
14,50,18,1013,?,40,15,?,?,73,?,0,2
12,50,10,1017,?,?,14,?,1,83,0,0,0
11,38,11,1016,?,40,19,?,?,44,0,2,?
10,30,2,1011,?,21,23,?,0,42,0,1,5
12,38,21,1016,?,40,19,?,?,44,0,2,?
28,65,27,?,?,?,?,?,1,?,0,?,?
9,25,5,1019,?,23,23,?,0,44,?,2,3
14,17,4,1015,?,44,0,?,1,1,?,?,?
13,34,20,1017,?,35,18,?,5,64,0,4,7
6,13,5,1016,?,38,18,?,?,58,0,1,1
14,46,11,1014,?,?,16,?,?,69,0,1,2
11,30,11,1011,?,21,23,?,0,42,0,1,5
23,14,2,1015,?,33,0,?,0,1,0,?,?
2,18,11,1017,?,37,22,9,?,45,?,4,13
21,34,9,1017,?,?,20,?,?,69,2,14,27
?,87,17,1003,?,?,12,?,?,96,?,?,?
10,24,0,674,?,?,20,?,2,67,0,?,?
13,42,6,1011,?,24,24,?,0,37,0,4,12
6,13,3,1015,?,24,19,?,0,53,0,1,2
6,25,1,1016,?,18,18,?,0,60,0,4,7
27,61,21,1015,?,?,16,?,?,71,0,1,5
10,31,6,1017,?,?,21,11,1,52,2,3,13
15,46,13,1008,?,57,14,?,?,79,?,0,2
9,25,10,1011,?,19,23,?,?,42,?,1,5
8,9,5,1017,?,43,22,?,0,46,?,3,8
5,29,10,1016,?,40,20,?,0,55,2,0,4
10,53,14,1020,?,?,14,?,?,74,0,2,3
?,?,?,1014,?,?,15,?,?,78,?,1,7
18,24,5,1016,?,?,20,?,0,55,3,0,4
15,34,8,1017,?,34,21,12,?,56,?,3,13
13,53,15,1008,?,53,8,?,1,50,0,0,2
?,53,?,1015,?,?,9,?,?,86,0,1,0
18,8,4,1017,?,39,21,12,2,56,1,3,13
24,8,7,1017,?,?,21,11,?,52,4,3,13
19,61,14,1017,?,55,14,?,?,82,0,?,?
?,53,?,866,99,?,9,9,?,100,0,2,?
46,62,4,1017,?,?,21,12,1,56,1,3,13
?,82,21,1003,?,?,12,?,?,96,?,?,?
?,34,?,1018,?,?,14,?,?,90,0,0,1
19,23,7,674,?,?,20,?,?,67,2,?,?
18,46,11,1018,?,?,14,11,0,82,0,2,?
?,55,?,1016,?,?,16,?,?,89,?,0,2
22,43,6,674,?,36,20,?,?,67,?,?,?
?,46,?,1017,?,?,14,?,?,89,?,0,1
19,65,2,1023,?,?,25,?,?,34,1,3,?
20,42,18,1015,?,?,15,?,1,83,0,0,0
?,38,?,1016,?,?,15,?,?,78,0,0,2
27,70,26,1017,?,?,16,?,?,74,?,2,7
36,84,9,674,?,?,20,?,?,67,?,?,?
20,42,10,1018,?,55,15,?,1,77,?,1,4
?,34,?,934,?,?,15,12,?,78,?,2,?
16,55,17,1007,?,58,12,?,1,89,0,0,1
?,37,10,1015,?,27,0,?,?,1,?,?,?
19,57,21,1017,?,48,14,?,1,83,0,0,0
?,50,?,1010,?,?,7,?,?,?,0,0,1
18,30,3,1017,?,44,21,11,?,52,?,3,13
?,42,?,1019,?,?,15,?,?,57,?,2,4
18,50,10,1014,?,67,0,?,1,1,0,?,?
?,?,?,1016,?,?,13,?,?,80,?,0,0
20,35,6,1017,?,?,21,11,?,52,3,3,13
12,22,4,1017,?,26,21,12,?,56,?,3,13
14,42,13,1017,?,46,14,?,1,82,0,2,4
15,53,10,1017,?,53,16,12,2,77,?,2,?
?,34,?,1018,?,?,15,?,?,57,?,0,1
22,66,28,1017,?,?,21,12,1,56,4,3,13
?,30,?,1017,?,?,15,12,?,82,0,2,?
17,55,9,1017,?,?,21,11,0,52,3,3,13
20,42,8,1017,?,60,11,?,?,90,?,0,3
13,42,6,1018,?,43,12,?,?,83,?,1,3
21,59,14,1015,?,65,15,?,?,83,?,0,0
?,?,?,1021,?,?,14,?,?,85,?,1,3
22,?,19,1017,?,?,17,?,?,64,?,0,?
?,87,20,1010,?,?,12,?,?,100,0,?,?
21,70,9,1018,?,?,14,11,?,82,0,2,?
20,42,13,1014,?,50,15,?,?,73,?,1,3
?,?,?,1018,?,?,13,?,?,86,?,0,0
19,35,11,1017,?,24,21,11,?,52,2,3,13
6,64,7,1015,?,?,0,?,?,1,2,?,?
8,15,2,1017,?,?,0,?,10,1,6,?,?
20,68,12,1017,?,46,13,?,?,76,?,2,8
?,38,?,1007,?,?,13,?,?,76,?,0,0
?,91,?,1022,?,?,3,?,?,?,?,0,1
20,61,15,1014,?,43,16,?,2,69,?,1,2
?,34,?,?,?,?,0,?,?,?,?,4,?
20,63,4,1017,?,62,11,?,?,90,?,0,3
?,13,?,1004,?,?,12,?,?,33,0,?,4
13,34,11,1016,?,38,15,?,?,75,0,1,3
?,46,?,1004,?,?,12,?,?,33,0,?,4
?,30,?,1016,?,?,13,?,?,89,0,1,?
?,25,?,1027,?,?,6,?,?,61,?,1,2
11,38,?,1017,?,35,10,?,5,77,?,1,1
10,30,?,1017,?,17,10,?,3,77,?,1,1
10,17,?,1017,?,8,10,?,2,77,?,1,1
11,42,?,1017,?,20,10,?,9,77,?,1,1
12,38,?,1017,?,20,10,?,6,77,?,1,1
6,13,10,1016,?,35,16,?,?,77,0,0,0
4,34,3,1015,?,39,16,?,?,61,?,0,3
6,13,21,1017,?,34,18,?,?,65,0,2,4
10,13,18,1017,?,29,18,?,?,65,0,2,4
7,13,4,1010,?,39,16,?,?,84,0,1,3
3,17,6,1017,?,43,8,?,?,90,0,0,3
4,13,7,1012,?,45,17,?,?,73,0,?,?
12,38,6,1012,?,49,17,?,?,73,0,?,?
14,34,12,1012,?,44,17,?,?,73,0,?,?
14,42,7,1002,?,37,21,?,5,76,?,?,0
9,25,6,1002,?,42,21,?,?,76,?,?,0
